Orden,Titulo,Que,Por que,Meta A,Duracion,Tips,Meta B,Duracion,Tips,Meta C,Duracion,Tips
11,Muévete todos los días,Si se practica actividad física en la vida diaria se puede mejorar de manera significativa la calidad de vida.,Los beneficios de hacer actividad física## 30 minutos al día o más## influye en todos los aspectos de la vida: posees mayor energía## disminuyes el riesgo de enfermarte## elevas tu estado de ánimo## manejas mejor el estrés## duermes mejor y reduces el peligro de muerte prematura casi a la mitad.,Camina 10 minutos tres veces al día,(El usuario debe hacer esta actividad por dos semanas) %14%,Si usas transporte público## baja unas cuadras antes y camina el resto hacia tu trabajo. @@ Usa las escaleras en tu trabajo o si vives un edificio; evita el elevador. @@ Camina 10 minutos durante tu hora de comida.,Camina 30 minutos dos veces al día,(El usuario debe hacer esta actividad por dos semanas) %14%,Leva?ntate 30 minutos ma?s temprano de lo normal y usa el tiempo para usar la caminadora o dar una caminata por tu colonia. @@ Lleva a caminar a tu perro todos los di?as. Si no tienes ofre?cete a pasear al del vecino. @@ Lleva a caminar a tu familia## jueguen a atrapar algu?n objeto o paseen en bicicleta.,Haz ejercicio por lo menos 60 minutos al día,(El usuario debe hacer esta actividad por tres semanas) %21%,Emplea tu bicicleta estacionaria o haz tu rutina de estiramiento mientras ves la televisio?n. @@ Si es necesario lleva tu ropa de ejercicio al trabajo o a la escuela## asi? no tendra?s que pasar a tu casa para buscarla y evitas quedarte alli?. @@ Recuerda realizar un pre calentamiento y estiramientos cuando terminas de realizar actividad fi?sica para evitar lesiones.
12,Toma agua a diario,Para mantener una hidratación adecuada## se debe beber líquidos constantemente## aunque no tengas sed.,El agua es un componente indispensable en los tejidos corporales. Es esencial para los procesos fisiológicos de la digestión## absorción y eliminación de desechos metabólicos. Actúa como medio de transporte de nutrimentos y sustancias corporales.,Bebe tres vasos de agua al día,(El usuario debe realizar esta actividad por dos semanas) %14%,"Comienza a beber un vaso de agua simple en el desayuno## comida y cena.
@@ Si no cuentas con fácil acceso al agua potable sigue esta recomendación: pon cuatro gotas de cloro por cada litro de agua que hiervas.",Bebe seis vasos de agua al día,(El usuario debe realizar esta actividad por dos semanas) %14%,Compra una botella de agua que puedas reusar y llévala tanto a la escuela como al trabajo. De modo que siempre esté disponible. @@ Evita comprar bebidas azucaradas## mejor toma agua.,Bebe ocho vasos de agua al día,(El usuario debe realizar esta actividad por tres semanas) %21%,"Ten disponible agua simple cuando tengas reuniones.
@@ Toma agua cada vez que te sientas ansioso o estresado."
13,Incluye verduras a tus comidas,El consumo de verduras y frutas es fundamental## no sólo para prevenir enfermedades## sino para tener una adecuada calidad de vida y lograr ocupar nuestro máximo potencial en las tareas de la vida cotidiana.,Las verduras ofrecen una amplia gama de sabores## texturas y colores. Entre sus funciones están el ayudar a disminuir el colesterol## regular la glucosa en la sangre## mantener el tracto digestivo saludable y evitar el estreñimiento## así como enfermedades infecciosas.,Come una taza der verduras todos los di?as,(El usuario debe realizar esta actividad por dos semanas) %14%,"Agrega alguna de tus frutas favoritas al cereal o yogur en el desayuno.
@@ Come una fruta cuando sientas hambre en el trabajo.
@@ Utiliza la fruta fresca como postre.",Come dos tazas de verduras al día,(El usuario debe realizar esta actividad por dos semanas) %14%,"Incluye una ensalada pequeña en dos de los tiempos de alimentación principales del día.
@@ Icluye verduras con una porción de pollo## mariscos o carne.
@@ Come primero las verduras de tu platillo y después sigue con los demás alimentos.",Consume 3 tazas de verduras al día,(El usuario debe realizar esta actividad por tres semanas) %21%,Inicia cada uno de tus tres principales tiempos de alimentacio?n con un pequen?o plato de verduras. @@ Acompan?a tus sa?ndwiches con verduras## como jitomate## lechuga## cebolla## pimientos y pepinos. @@ Come verduras crudas o crujientes para preservar todos sus nutrimentos y su fibra. como zanahorias## jitomates## lechuga## pepino y bro?coli.
14,Acude con tu médico,Primero debemos conocer nuestra situación antes del cambio para saber qué hábitos debemos reforzar## por qué son adecuados y cuáles debemos agregar a nuestra vida.,Fomenta en la población buenos hábitos —físicos## de alimentación y emocionales — y una vida saludable. Ayuda a identificar y actuar sobre las conductas de riesgo como: no realizar actividad física## ejercer o sufrir violencia intrafamiliar## estrés laboral## fumar## consumir bebidas alcohólicas y/o drogas## comer en exceso## consumir bebidas azucaradas## conducir agresivamente## sexualidad no responsable## entre otras.,Haz una cita con tu médico,(El usuario debe realizar esta actividad dentro de un mes) %30%,"Acude a la Unidad de Salud más cercana para obtener la Cartilla Nacional de Salud.
@@ Mide cada mes tu circunferencia de cintura a la altura de tu ombligo. Las mujeres deben tener una medida igual o menor a 80 cm y los hombres igual o menor a 90 cm.
@@ Percibe si tienes dificultad para concentrarte o realizar tus actividades cotidianas.",Realízate las pruebas que tu médico te recomiende,(El usuario debe realizar esta actividad dentro del siguiente mes de haber visitado a su médico) %30%,"Piensa y observa cómo te sientes por las mañanas y durante todo el día.
@@ Identifica si estás triste## irritado## estresado o enojado la mayor parte del día.
@@ Registra si tienes insomnio o exceso de sueño durante la semana.",Acude con un especialista si tienes indicios de un problema de salud,(El usuario debe poder registrar cuándo vaya con un especialista y realice lo que le recomienden## dentro de los siguientes dos meses de haberse realizado las pruebas) %60%,"Observa qué piensas y sientes cuando estás perdiendo el control sobre la necesidad de consumir alcohol o tabaco. @@ Consulta a un especialista si tienes algún problema como pensamientos negativos o estés viviendo situaciones de estrés.
@@ Observa y monitorea tus conductas## pensamientos y sentimientos diariamente."
15,Comparte con tu familia,La motivación para lograr el cambio y la perseverancia para seguir los 5 pasos tienen una estrecha relación con el entorno familiar y de amistades## ya que estos factores pueden incidir de una manera decisiva en la voluntad individual.,"El entorno familiar inmediato (padre## madre## hermanos y hermanas)
constituye una fuerte influencia sobre los hábitos y conductas saludables en la persona## ya que son modelos a seguir. Compartir crea mejores lazos afectivos en familia.",Utiliza los primeros 15 minutos cuando llegues del trabajo para hablar con tu familia,(El usuario debe realizar esta actividad por tres semanas) %21%,"Pregunta por cómo les fue en su día a tu cónyuge e hijos.
@@ Mandales un mensaje a su celular diciéndoles lo mucho que los quieres.",Come con tu familia una vez al día,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Convive con tus amigos y familiares e incluye siempre el consumo de verduras y frutas a la hora de la comida o en las colaciones.
@@ Promueve la convivencia familiar en al menos uno de los tiempos de alimentación## ya que fortalece la unión familiar y además hace un cambio en los hábitos.",Planea una actividad cada fin de semana con tu familia,(El usuario debe realizar esta actividad por dos meses) %60%,"Organiza actividades recreativas o deportivas en la que convivan los niños y adolescentes con sus amigos## vecinos y familiares.
@@ Involúcrate en las actividades que realicen tus amigos o familiares."
1,Desayuna todos los días,Mucha gente no desayuna “porque no siente hambre”. Sin embargo## esto puede deberse a un hábito arraigado de no hacerlo. De hecho## si eres de estas personas y comienzas a desayunar a los pocos días te darás cuenta de que vuelves a sentir hambre al levantarte.,Al desayunar proporcionas la energía que requiere tu cuerpo para sus actividades matutinas. Favoreces tu atención## concentración y por lo mismo## tu rendimiento escolar y/o laboral.,Come una fruta y 7 almendras o un yogur bajo en grasa cuando vayas de salida,(El usuario debe realizar esta actividad por tres semanas) %21%,"Planea tu desayuno desde la noche anterior.
@@ Despiértate unos 10-15 minutos antes para que cuentes con el tiempo de realizarlo.",Come un sándwich y un vaso de leche descremada,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Busca opciones fáciles de preparación que no te lleven mucho tiempo los primeros días. Ejemplo: cereal con leche y plátano.
@@ Desayuna aunque no tengas hambre con el tiempo desarrollarás el hábito e iras sintiendo hambre por las mañanas.",Levántate 30 minutos antes de lo normal para desayunar,(El usuario debe realizar esta actividad por seis semanas) %42%,"Elecciones inteligentes para desayunar incluyen granos integrales## lácteos de bajo contenido de grasa## y frutas.
  @@ Un cereal que contenga de 3 a 5 g de fibra y asegúrate de que el azúcar no aparezca como uno de los tres primeros ingredientes."
2,Come sin ver la TV,No veas televisión mientras comes (y viceversa## no comas mientras ves televisión). Invierte el mismo tiempo para ejercitarte## como el que dedicas a ver televisión.,Los estudios muestran que ver televisión contribuye en cierta forma con el aumento de peso ya que no te mueves y tienes mayor probabilidad de comer inconscientemente debido a que tu cerebro está haciendo muchas actividades al mismo tiempo,Apaga la televisión mientras comes,(El usuario debe realizar esta actividad por tres semanas) %21%,"Pega una nota en la televisión o computadora que te recuerde no comer mientras las usas.
@@ Cambia de lugar la televisión de modo que no sea el centro de la habitación o sala.",Ejercítate cada vez que pasen los anuncios,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Usa un registro para anotar el tiempo que pasas frente al televisor y dedica el mismo tiempo para ejercitarte.
@@ Evita la televisión por completo y sal a caminar## andar en bicicleta o correr.",Ejercítate mientras ves tu programa favorito,(El usuario debe realizar esta actividad por seis semanas) %42%,"Ve la televisión en un sólo sitio de la casa. Desconecta o retira todos los demás aparatos.
@@ Arma una rutina con diferentes ejercicios que dure lo mismo que tu programa favorito."
3,Limita el azúcar en tus alimentos,La principal fuente de azúcares añadidos son los refrescos y bebidas industrializadas. Otras fuentes importantes comprenden caramelos## pasteles## galletitas## bebidas de frutas y postres elaborados con productos lácteos## como el helado.,El azúcar no necesariamente es malo## pero la mayoría de los azúcares proporcionan poco valor nutritivo. Las fuentes naturales del azúcar son## en general## ligeramente mejores para ti que los alimentos con gran cantidad agregada de azúcar refinada.,Mastica chicle sin azúcar,(El usuario debe realizar esta actividad por dos semanas) %14%,Mídete en el consumo de bebidas y alimentos que tienen azúcares simples agregadas. @@ Consume fruta fresca## sin ponerle azúcar y ni excedas de 5 porciones al día.,intermedia: Evita beber refrescos,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Ten siempre a la mano aguan natural y verduras frescas para colaciones. Utiliza pepino## jitomate o lechuga que son alimentos con pocas calorías y muy frescos.
@@ En lugar de azúcar## añade fruta fresca a tu cereal matutino## tu pan tostado## hot cakes o a tu yogur. También puedes ayudarte de algún sustituto de azúcar como splenda o stevia.",Evita tener golosinas o galletas y panecitos dulces,(El usuario debe realizar esta actividad por dos meses) %60%,"Prueba cereales de granos enteros e integrales @@ Condimentos y especies para mejorar el sabor (ajo## comino## pimienta## canela## romero## etc.).
@@ Usa tu creatividad y prueba tus aptitudes culinarias. Elabora tus propios postres## utilizando sustitutos de azúcar."
4,Limita comer carne,Varía tu consumo de carne roja## aves y pescados durante la semana. Elige pescados de 3 a 4 veces## aves de 2 a 3 veces y carne roja consúmela 1 o 2 veces por semana.,Los cortes de carne o aves con piel tienen una cierta cantidad de grasa y colesterol que pueden ser perjudiciales para la salud. Si no te gustan los productos de origen animal## la combinación adecuada de leguminosas con cereales te dará el aporte de proteína necesario en tu día.,Incluye en alguna de tus comidas leguminosas como frijoles o lentejas. (1/2 taza),(El usuario debe realizar esta actividad por dos semanas) %14%,"Usa productos lácteos descremados o semidescremados.
@@ Consume quesos frescos como el panela## cottage o requesón.",Quítale la grasa extra a los alimentos que contengan mucho de ésta.,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Procura comprar cortes de carne con poca grasa.
@@ Evita consumir la piel del pollo.
@@ Consume caldos de pollo o res desgrasados.",Si comes carne que ésta sea la de menor porción de tu platillo,(El usuario debe realizar esta actividad por dos meses) %60%,"Sustituye la carne roja con pescado horneado o a la parrilla.
@@ Siempre tu platillo con una abundante ensalada.
@@ Las leguminosas son excelentes alternativas para obtener proteínas. Una ración de 1?2 taza de frijoles## chícharos o lentejas cocidos## equivalen más o
menos a una ración de 60 gramos de carne## aves o pescado."
5,Evita la “comida chatarra”,Si la comparamos con otros alimentos suele ser barata y práctica. A muchos nos encanta por su sabor y esto es debido a que contiene un alto contenido de grasa## azúcar y sal.,Todos necesitamos un poco de grasa## azúcar y sal## pero en cantidades excesivas se consideran perjudiciales para la salud.,Tira toda la comida “chatarra” que tengas en tu hogar y trabajo.,(El usuario debe realizar esta actividad por tres semanas) %21%,"Si vas a consumir comida “chatarra”## elige la presentación más pequeña.
@@ Para ajustarte a la frecuencia recomendada evita llevar dinero con lo que puedes adquirirla los otros días.",trata de consumir máximo una vez a la semana comida “chatarra”,(El usuario debe realizar esta actividad por cuatro semanas) %28%,"Si acudieras a una reunión donde habrá mayor disponibilidad de ella como botana## no olvides realizar una colación suficiente y saludable previamente.
@@ Puedes llevar a la reunión una opción de botana como: pepino## zanahoria y jícama con limón y chilito.",Cambia la comida “chatarra” por una opción más saludable,(El usuario debe realizar esta actividad por dos meses) %60%,"Cuando llegues a consumirla como colación## acompáñala de una verdura.
@@ Cuando sientas ansias de comer este tipo de alimentos## distráete hablándole a un amigo o saliendo a caminar."
6,Registra lo que comes,Lleva un registro de todo lo que comas y bebas durante el día## incluidas las cantidades y tipos de comida.,Llevar un registro te permite saber con exactitud qué y cuánto comes. También te permite identificar patrones problemáticos en tus conductas alimenticias.,Registra todo lo que comes por dos semanas.,(El usuario debe realizar esta actividad por dos semanas) %14%,"Anota todas las bebidas que consumas## incluidos sus tipos (agua## leche## jugo) y la cantidad que tomaste.
@@ Utiliza un cuaderno para anotar todo lo que comes o en una hoja de Excel en la computadora.",Registra todo lo que comes por un mes %30%,(El usuario debe realizar esta actividad por tres semanas) %21%,"Para medir las porciones que comes utiliza lo siguiente: las verduras o frutas anota el tamaño. Para la pasta## el arroz y bebidas## indica el número de tazas o cucharadas.
@@ Anota también las colaciones o entre comidas que realices.",Registra todo lo que comes por dos meses,(El usuario debe realizar esta actividad por dos meses) %60%,"Fríe## asa u hornea tus alimentos.
@@ Lleva tu registro en todo momento## de manera que puedas anotar de inmediato lo que comiste y no tengas que tratar de recordarlo después."
7,Come fibra,Los granos son las semillas de las plantas. Cuando se dejan enteros## incluyen ingredientes que contienen nutrimentos benéficos que necesita tu cuerpo,Los granos enteros son parte importante de una dieta saludable porque contienen relativamente poca grasa y alto contenido de fibra## que ayuda a tener una mayor sensación de saciedad## por lo tanto## comes menos porque tu hambre se satisface más pronto.,Cambia tu pan blanco por pan integral,(El usuario debe realizar esta actividad por cuatro semanas)  %28%,"Come más granos enteros o sus productos. Experimenta con arroz y cebada integrales y con pasta de trigo entero.
@@ Consume más frijoles## chícharos y lentejas.",Que todas tus colaciones sean una verdura cruda o una fruta por dos meses,(El usuario debe realizar esta actividad por dos meses)  %60%,"Haz que los bocadillos cuenten. Las palomitas de maíz y las galletas de granos enteros son buenas fuentes de fibra.
@@ Sustituye la harina de trigo por harina de trigo integral cuando hagas pan.",Incluye en todos tus comidas alimentos con fibra como cereales integrales## verduras## frutas o leguminosas,(El usuario debe realizar esta actividad por un mes)  %30%,"Cuando vayas de compras elige alimentos que contengan fibra.
@@ Come cereal integral## como avena o cereal de salvado## en el desayuno o prueba un pan tostado integral en lugar de pan blanco."
8,Come grasas saludables,Incluye en tu alimentación más grasas monoinsaturadas y poliinsaturadas saludables y alimentos que contienen ácidos grasos omega 3 como el pescado.,Los estudios de las últimas dos décadas han confirmado que las personas que reemplazan gran parte de la grasa animal en sus alimentos por aceites vegetales líquidos tienen probabilidad de disminuir sus niveles de colesterol## y reducir el riesgo de enfermedad cardiovascular.,Come como colación nueces## almendras o cacahuates por lo menos tres veces a la semana,(El usuario debe realizar esta actividad por dos semanas)  %14%,"Retira la grasa visible de la carne y quita la piel de las aves antes de cocinarlas.
@@ Usa aceite en aerosol para cocinar que no se pegue en tus utensilios de cocina. Cuando necesites aceite## escoge aceite de oliva.",Utiliza las versiones bajas en grasa de tus aderezos favoritos y consúmelos en pequeñas cantidades (1 cucharadita de mayonesa o crema light),(El usuario debe realizar esta actividad por cuatro semanas## en sus tres comidas principales: desayuno## comida y cena)  %28%,"Refuerza el sabor del alimento sin agregar grasa usando hierbas y especias.
@ Usa vinagre balsámico## limón## mostaza aceite de oliva en las ensaladas en lugar de aderezos o elige aquellos con bajo contenido de grasa.",En lugar de cocinar con aceite “normal”## hazlo con aceite de oliva,(El usuario debe realizar esta actividad por dos meses)  %60%,"Elige productos lácteos bajo en grasas.
@@ Cocina el pescado en una envoltura apropiada o papel aluminio para sellar los sabores y jugos.
•@@Utiliza técnicas culinarias como asado## tostado o al vapor para cocinar tus
alimentos."
9,Limita los alimentos procesados,Consume alimentos en su estado natural y limita o evita los productos procesados## como muchas comidas ya preparadas o enlatadas.,Los alimentos se procesan para que sean más seguros## con mayor disponibilidad y de uso conveniente## pero el proceso puede añadirles grasa## azúcar y sal. La comida rápida con frecuencia está llena de este tipo de elementos.,Evita al máximo los jugos o bebidas azucaradas que son industrializadas## prefiere beber agua simple o de limón## jamaica o tamarindo sin azúcar o endulzada con algún sustituto,(El usuario debe poder registrar los días en los cuales realizó esta actividad cuando junte 15 días habrá cumplido la meta)  %15%,"Planea con anticipación lo que comes de manera que tengas a la mano todos los ingredientes que necesitarás.
@@ Comienza por planear tus menús con verduras y frutas frescas. Luego## añade granos enteros como arroz y pastas de granos.",Cuando compres comida enlatada lávalas para quitarle el sodio,(El usuario debe poder registrar los días en los cuales realizó esta actividad cuando junte 30 días habrá cumplido la meta)  %30%,"Si compras alimentos procesados lee la información nutrimental y elige la de menos calorías.
@@ Cundo vayas al supermercado elige las frutas y verduras que estén empacadas en lugar de procesadas.",Evita comprar o ir a lugares de comida rápida,(El usuario debe realizar esta actividad por dos meses)  %60%,"Cuando comas carne fíjate que la porción no rebase el tamaño de tu mano. Evita añadirle grasa.
@@ Congela las frutas y verduras para conservar sus nutrimentos."
10,Evita comer en la calle,No comas fuera## pero si lo haces## asegúrate de ordenar comidas y bebidas saludables.,Comer fuera está asociado con el aumento de peso. Ya que los platillos que sirven suelen ser de raciones muy grandes## lo que da por resultado un consumo en exceso de calorías.,Limita a comer un solo día en la semana en la calle o restaurantes.,(El usuario debe realizar esta actividad por tres semanas)  %21%,"Si el tiempo es un problema## encuentra recetas para preparar comidas caseras rápidas## fáciles y sanas.
@@ Mantén a mano ingredientes básicos para preparar platillos en casa. Por ejemplo## mezcla arroz## frijoles y especies.
@@ Si comes fuera trata de escoger las opciones más saludables como ensaladas## pescados o alimentos que no estén fritos## empanizados o capeados.",Cuando vayas a restaurantes come sólo la mitad del platillo que te sirvan y la otra guárdala para el día siguiente.,(El usuario debe poder registrar los días en los cuales realizó esta actividad cuando junte 30 días habrá cumplido la meta)  %30%,"Si pides una entrada## cuando comas fuera## que sea de verduras## frutas o pescado.
@@ Cuando estés en un restaurante come despacio## y tan pronto como comiences a sentirte lleno## pide que te pongan el resto para llevar.",Evita comer en la calle o restaurantes por lo menos durante dos meses.,(El usuario debe realizar esta actividad por dos meses)  %60%,"Sáltate el postre. Si es imposible resistirte## come gelatina sin azúcar o fruta fresca.
@@ Identifica los restaurantes que se especializan en comidas sanas. Si viajas## pide a los meseros del hotel que te hagan sugerencias."
